Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Height,Weight
Michael Turner*,ATL,28,RB,16,15,334,1371,12,75,55,4.1,85.7,2,5-10,244lb
Steven Jackson*,STL,27,RB,16,16,330,1241,6,60,42,3.8,77.6,1,6-2,240lb
Arian Foster *+,HOU,24,RB,16,13,327,1616,16,90,74,4.9,101.0,3,6-1,227lb
Rashard Mendenhall,PIT,23,RB,16,16,324,1273,13,61,50,3.9,79.6,2,5-11,210lb
Cedric Benson ,CIN,28,RB,16,16,321,1111,7,59,26,3.5,69.4,7,5-11,227lb
Chris Johnson *,TEN,25,RB,16,16,316,1364,11,57,76,4.3,85.3,3,5-11,195lb
Ray Rice,BAL,23,RB,16,14,307,1220,5,53,50,4.0,76.3,0,5-9,195lb
Maurice Jones-Drew*,JAX,25,RB,14,14,299,1324,5,74,37,4.4,94.6,2,5-7,210lb
Adrian Peterson*,MIN,25,RB,15,15,283,1298,12,71,80,4.6,86.5,1,6-1,220lb
Ahmad Bradshaw,NYG,24,RB,16,11,276,1235,8,53,48,4.5,77.2,7,5-11,195lb
Peyton Hillis,CLE,24,RB,16,14,270,1177,11,58,48,4.4,73.6,8,6-1,240lb
Thomas Jones,KAN,32,RB,16,10,245,896,6,39,70,3.7,56.0,3,5-10,212lb
Matt Forte ,CHI,25,RB,16,16,237,1069,6,43,68,4.5,66.8,3,6-1,221lb
Jamaal Charles*+,KAN,24,rb,16,6,230,1467,5,70,80,6.4,91.7,3,5-11,199lb
BenJarvus Green-Ellis,NWE,25,RB,16,11,229,1008,13,65,33,4.4,63.0,0,5-11,215lb
Darren McFadden,OAK,23,RB,13,13,223,1157,7,46,57,5.2,89.0,4,6-2,210lb
Fred Jackson,BUF,29,RB,16,13,222,927,5,40,39,4.2,57.9,5,6-1,215lb
LaDainian Tomlinson,NYJ,31,RB,15,13,219,914,6,43,31,4.2,60.9,3,5-10,215lb
LeSean McCoy,PHI,22,RB,15,13,207,1080,7,46,62,5.2,72.0,2,5-11,210lb
Frank Gore,SFO,27,RB,11,11,203,853,3,42,64,4.2,77.5,4,5-9,212lb
Marshawn Lynch ,2TM,24,,16,14,202,737,6,0,39,3.6,46.1,4,5-11,215lb
LeGarrette Blount,TAM,24,rb,13,7,201,1007,6,38,53,5.0,77.5,4,6-0,247lb
Ronnie Brown,MIA,29,RB,16,16,200,734,5,40,51,3.7,45.9,3,6-0,223lb
Brandon Jackson,GNB,25,RB,16,13,190,703,3,30,71,3.7,43.9,1,5-11,210lb
Shonn Greene,NYJ,25,,15,2,185,766,2,41,23,4.1,51.1,3,5-10,235lb
Felix Jones,DAL,23,rb,16,7,185,800,1,41,34,4.3,50.0,2,6-0,200lb
Knowshon Moreno,DEN,23,RB,13,13,182,779,5,35,35,4.3,59.9,3,5-10,215lb
